question_list,label
"Saya ingin melakukan pembayaran dengan promo tetapi masa aktif saya masih sampai dengan 30 Desember 2024, apakah jika saya melakukan pembayaran hari ini masa aktif akan terkakumulasi?",Information
Apakah bisa dinformasikan untuk Type modem yang disediakan oleh biznet?,Information
Jika berlangganan dengan skema modem membeli apakah ada garansi modemnya?,Problem
Mohon diinformasikan promo apa saja yang berlaku saat ini untuk pelanggan lama?,Information
Untuk layanan Biznet Home apakah menyedaiakan invoice pembayaran?,Information
Apakah layanan Biznet Home mempunyai SLA apabila internetnya down?,Unknown
"Saya ingin melakukan pergantian data nama akun, sayarat nya bisa diinformasikan apa saja?",Information
Harga paket 1D berapa?,Information
Apakah Biznet menyediakan layanan internet untuk sekolah?,Unknown
Brach terdekat dari lokasi saya saat in idi gunung putri,Unknown
Untuk pengaduan bisa diinformasikan melalui apa saja saat ini?,Information
Untuk estimasi kunjungan perbaikan dengan teknisi berapa lama?,Unknown
berapa harga produk di biznet,Information
Apakah biaya installasi awal setiap daerah berbeda?,Information
"Akun saya sebelumnya sudah terminated dengan skema modem membeli lalu ingin berlangganan kembali, apakah modemnya dapat digunkan kembali?",Request
harga paket 2D berapa?,Information
Bagaimana cari ganti password wifi?,Request
Apakah dikenakan kontrak berlangganan untuk layanan Biznet Home?,Unknown
Mohon diinformasikan untuk metode pembayaran layanan Biznet bisa melalui apa saja?,Information
Bagaimana Cara sembunyikan SSID wifi?,Information
"Berapa jarak jangkauan signal wifi 2,4 Ghz?",Unknown
Berapa jarak jangkauan signal wifi 5 Ghz?,Unknown
Promo layanan Biznet?,Information
Berapa harga promo 3+1 daerah kota surabaya?,Information
Berapa harga promo 6+2 daerah Yogyakarta?,Information
Berapa harga promo 9+3 daerah Bandung?,Information
Berapa harga promo 12+5 daerah Jakarta selatan?,Information
Berapa lama Masa aktif layanan Biznet Home?,Unknown
Berapa lama masa tenggang layanan Biznet Home?,Unknown
Harga add on IPTV?,Information
Bagaimana cara restart modem?,Information
"Jika ingin pindah alamat, namun lokasi baru tidak tercakup, bagaimana?",Request
Penyebab jaringan lambat karena apa?,Problem
cara membeli add on kuota?,Information
login my biznet gimana?,Unknown
Kalo beli modem harganya berapa ya??,Information
ingin beli extra kuota,Request
saya mau complaint,Unknown
loss merah,Problem
harga produk biznet,Information
ingin membeli kuota,Request
001000378036,Unknown
Internet aga lambat,Problem
mau beli etra quota,Unknown
mau beli extra quota,Unknown
apakah palmerah jakarta tercover,Unknown
harga modem biznet home,Information
cara login my biznet,Information
Modem los,Problem
tidak saya ingin membeli modem biznet baru,Request
menambah perangkat yang sudah ada,Unknown
biznet home,Unknown
saya maut ambah modem,Problem
ya router mesh wifi,Problem
Los modem min,Problem
Los,Problem
Harga modem,Information
modem saya loss,Problem
Mau ke cs,Unknown
saya mau ubah paket,Unknown
Promo,Information
ubah paket ke 3D,Unknown
saya mau terhubung dengan cs,Unknown
Ingin cp,Request
Change package,Information
Ke pake home 1d,Unknown
Bisa gak aku config modem manual ?,Problem
Bisa gak config modem mamual?,Problem
Oke kalok mai ganti pw wifi ?,Request
Terus kalok promo ada gak?,Information
Oke aku ada rencana pasang di surabaya di merr ke cover gak ?,Unknown
Paketnya apa aja ya?,Unknown
Kalok pkek kabel bawah ranah kenak biaya gak ?,Information
Kalok bolej tau reminder pembayaran dikirim kapan ?,Information
Ada modem wireless gak ?,Problem
Apakah tidak ada promo beli modem ?,Information
Cara bayar via mandiri,Information
Nomer va bsi,Unknown
Kalok lupa username sama password pppoe gemana ?,Unknown
Cara download aplikasi my biznet dimana ?,Information
Cara diwnload aplikasi my biznet domana?,Information
Biaya pasang baru biznet berapa ?,Information
Kalok harga relokasi home ?,Information
Kalok mau ngjuin sponsor kemana ?,Unknown
Ciri ciri tiang biznet gemana ? Soalnya ada tiang miring di jalan,Unknown
Biznet bagus gal sih ?,Unknown
Kalok mau langganan caranya gemana ?,Information
Oke biatanya berapa ?,Unknown
Oke terus bisa cek coverage gak ?,Unknown
Saya mau pasang di soe,Unknown
Lebih mahal ya hatganya?,Unknown
Oke terus kalok nambah touter gitu bisa gak,Unknown
Yep nambah router mesh wifi,Problem
Bukanya kmren ada ya ?,Unknown
Oke cara belinya gmn ?,Information
Kalok harga paket 0d brrapa?,Information
Bukan 0dw tapi 0d,Unknown
Tapi kenapa tadi infonya 0dw bukan 0d?,Information
Oke terus kapan reminder pembayaran dikirim?,Information
Oke lalu kalok modem saya los merah saya harus apa ?,Problem
Apa aladan saya pilih biznet home ?,Unknown
Terus kalok benefit 0d apa aja yg bisa saya dapet ?,Unknown
Estimasi waktu bayar promo,Information
Masa kontrak berlaku berapa lama ?,Unknown
Terus kalok berenti sebelum lontrak habis denda gitu ?,Unknown
saya mau ganti paket,Request
hubungkan ke agent,Unknown
Saya ingin ganti paket ke Gamers 3D,Request
Berbicara dengan cs,Information
internet di rumah tidak bisa dipake,Problem
harga 1D,Information
live agent dong,Unknown
"Mau tanya tentang Biznet Home, ada paket apa ajaa?",Information
"Halo Pagi, mau tanya tentang biznet home",Unknown
Paket termahal Biznet Home apa ya?,Unknown
Paket termahal apa ya?,Unknown
Bisa dititalin untuk Biznet Home 3D? beli modem,Problem
Totalin harga untuk ini berapa? sewa modem,Information
Kalo modem sewa totalnya berapa?,Problem
kalo beli modem?,Problem
aku pasang baru,Unknown
saya mau pasang baru dengan beli modem dan paket Biznet Home 3D,Problem
Live agent,Unknown
kenapa sih jaringan saya suka terputus sambung?,Problem
bisa sambungkan ke live agent,Unknown
kenapa wifi 5G saya suka tidak terdetect?,Unknown
mau pindah lokasi,Unknown
proses nya berapa lama?,Unknown
Cek koneksi,Unknown
Kalau saya terhalang sekat bagaimana Kak? soalnya modemnya jauh dari area yang saya gunakan,Problem
Internet saya ngga bisa digunakan,Unknown
saya mau pindah,Unknown
kenapa sering sekali terjadi kendala loss merah?,Problem
"pindah ke Jl. Pd. Mitra Lestari No.11 Blok A4, RT.002/RW.005, Jaka Setia, Bekasi Selatan, Bekasi, West Java 17147",Unknown
itu dikenakan biaya tidak?,Information
Kalau ada gangguan area perbaikannya sampai kapan?,Problem
kenapa koneksi inet saya lemot banget ya?,Problem
berapa hari tuh proses nya,Unknown
bisa gk saya minta proses nya hanya 2 hari,Request
kenapa koneksi internet saya up down?,Unknown
klo gitu diskon dong,Unknown
"kan lama proses nya di 7 hari, mahal tapi lama",Unknown
klo saya mau terminasi gimana?,Request
dih kok di kenakan pinalti?,Unknown
saya beli modem waktu itu dan tidak ada penjelasan kontrak,Problem
Ada promo pembayaran?,Information
Paket 3 Plus 1 hargfanya berapa?,Unknown
Area Jawa ada paket apa saja?,Information
Ada paket 350mbps?,Unknown
Kalau mau promo bisa telfon ke mana?,Information
Massa aktif saya sampai kapan?,Unknown
Bisa ganti paket sekarang?,Request
Massa aktif nya bakal hangus ga?,Unknown
Gimana caranya?,Information
Buat pake akun MyBiznet log innya bagaimana?,Unknown
Promo saat ini?,Information
Harga promo 9+3?,Information
Internet saya terputus putus,Problem
Customer service,Unknown
saya mau cek jumlah perangkat yg terhubung ke modem saya,Problem
Lokasi saya sudah tercakup belum ya?,Unknown
"Villa Mahkota Pesona, Blok IJ 8 no 6, Bojong Kulur, Gunung Putri",Unknown
informasi promo,Information
mau ganti paket gimana caranya,Information
saya tidak hapal,Unknown
Masa aktif saya hingga 2025 ya. Apakah bisa mengikuti salah satu promo tersebut?,Information
internet saya slow,Unknown
Jadi baiknya gimana om?,Unknown
"baik, \nkalo masa aktifnya hinga 3 Januari 2025 gimana om?",Unknown
Change package with another ID,Information
1000032151,Unknown
Internet saya terputus putus tiap malam,Problem
hasil speedtest saya tida 1:1,Unknown
Apakah ada promo tahunan?,Information
"Internet saya tidak simetris, upload dan download tidak sesuai",Unknown
Change package with  another ID,Information
Cakupan area?,Unknown
Bisa ga kalo saya ganti paket layanan dibawahnya?,Request
Kenapa lokasi saya gak bisa pake biznet?,Unknown
Upload dan download tidak Symmetrical,Unknown
Untuk prosesnya berapa lama?,Unknown
Upload dan download tidak simetris,Unknown
Sudah punya Biznet,Unknown
Internet mati ni,Problem
"min saya rencana mau pindah rumah, apakah tetap bisa berlangganan layanan biznetnya?",Unknown
promo 3+1 berapa,Information
untuk biaya relokasi itu berapa ya min?,Information
proses terminasi,Request
promo 6+2 berapa,Information
"i wanna check coverage area, can you help me?",Unknown
"i live in pantai indah kapuk 3, north jakarta",Unknown
untuk pengecekan jaringan sudah tercover atau belum bagaimana ya?,Unknown
Ingin merubah paket,Request
i wanna ask to create a trouble ticket,Problem
ingin ganti paket aja,Request
"saya cek udah tercover, saya bisa ajukan sendiri atau perlu oleh customer ya?",Unknown
i wanna terminate my account,Unknown
Cara relokasi bagaimana?,Information
Berapa lama prosesnya?,Unknown
Berapa biaya relokasi?,Information
bagaimana cara cek cakupan area?,Information
"Kendal, Bangunkerto, Turi, Sleman, Yogyakarta",Unknown
Saya mau relokasi,Request
Internet saya up and down,Unknown
Bagaimana apabila alamat baru tidak tercakup untuk relokasi?,Request
Request dong mau ikut promo,Information
Ada biaya penalty untuk terminasi?,Information
mau tanya paket,Unknown
alamat saya sudah tercover belum ya?,Unknown
kalau dirumah pakai smart tv dan cctv pakai yang mana ya?,Unknown
ada promo apa bulan ini?,Information
bukan disitu alamatnya,Unknown
Kalau karena internet lambat apakah ada penalty untuk terminasi?,Request
wilayah sukawati bali,Unknown
baru berlangganan,Unknown
Info produk Biznet home,Information
Saya mau tanya pembayaran biznet bisa apa saja.,Information
biznet home yang berapa ya?,Unknown
aku gabisa bayar lewat VA BCA,Information
bisa di jelaskan detail harga masing masing dari promo tersebut,Information
mau tanya cakupan min,Unknown
berapa harga layanan Biznet Home Internet 1D,Information
apakah bisa diinformasikan status perangkat modem saya ini sewa atau beli?,Information
berapa lama massa kontrak berlangganan biznet?,Unknown
saya ingin tanya Biznet,Request
mau nanya desember ini ada promo apaan aja ya?,Information
Tolong cek jaringan saya,Request
apakah biznet home tercover area cibinong?,Unknown
lagi ada promo apa yah?,Information
saat ini internet ku down,Unknown
Berapa harga 1 unit IPTV?,Information
Mau ikut promo bisa,Information
Payment,Unknown
saya ga bs bayar via VA,Information
boleh diinformasikan promo Biznet Home?,Information
selain itu ada promo apa lagi? itu doang?,Information
ada paket apa saja di biznet home?,Information
internet saya down,Unknown
Kalau kendala internet mati saya harus bagaimana?,Problem
Bayar promo,Information
cara berlangganan baru bagaimana?,Information
apakah dapat ip publik?,Unknown
apakah pembayarannya bisa menggunakan kartu kredit?,Information
tanya produk,Information
mau ganti paket ke Biznet Home yang lebih tinggi,Request
Pembayaran lewat UOB bisa atau tidak?,Information
gak ada promo spesial tahun baru?,Information
baik terimakasih,Unknown
ikut promo,Information
kalau pasang baru apa dapat promo juga?,Information
Kok lama,Unknown
Promo 2025,Information
promo di nusa tenggara,Information
engga dulu deh,Unknown
sudah restart modem masih sama,Problem
Saya mau ubah nama wifi,Unknown
ada paket paling murah berapa?,Unknown
"Kalau tidak ada lampu merah LOS, namun lampu PON berkedip, apa yang harus saya lakukan?",Problem
kurang menarik promonya,Information
ke Biznet Home 3D bisa ga?,Unknown
Apakah tidak ada promo tahun baru?,Information
apakah ada promo khusus untukku?,Information
biznet home 0dn,Unknown
cara daftar nya gimana?,Information
Klo ubah password?,Unknown
Saya ada kendala pembayaran nih,Information
Promo apa yang saat ini tersedia?,Information
ada indikator loss merah,Problem
Internet,Unknown
Kalo mau relokasi dong,Request
Inet saya down,Unknown
tahun depan ppn nya berapa? 11% atau 12%,Unknown
nanya perihal promo,Information
bisa diinformasikan biaya bulanan saya saat ini berapa?,Information
berapa lama proses intalasinya?,Unknown
Mau bayar,Information
Bagaimana cara cek ping dan tracert apabila ada kendala akses website?,Information
"Tidak cukup, terima kasih",Unknown
Gimana promo nya,Information
mau tanya paket yang available apa ajaa ya?,Unknown
sebutkan cara yang lengkap untuk pergantian data,Information
Dimana saya bisa mendapatkan username dan password untuk login ke my biznet tersebut?,Unknown
cara bayar biznet home ?,Information
Virtual account betapa,Unknown
kabel nya ada yang putus kaya nya min,Problem
ok terima kasih,Unknown
apa ada kontak sales yang bisa saya hubungi?,Unknown
"Kalau ada kendala akses aplikasi, apakah perlu cek ping dan tracert juga?",Unknown
bayar dengan cara di cicil apakah bisa ?,Information
Terminate gimana?,Unknown
apakah ada promo 6+6?,Information
ga punya akunnya,Unknown
bayar dengan cara hutang ?,Information
minta nomornya,Request
jadi bagaimana cara termudah untuk dapat saya order promo tersebt,Information
promo 2+1 saja,Information
"selain kartu kredit, pembayarannya bisa menggunakan apa aja ya?",Information
saya tidak mau ribet,Unknown
Apakah ada promo 2+1,Information
ada whatsappnya ga?,Unknown
bagaimana cek ping dan tracert aplikasi di android?,Unknown
mahal soalnya klo telp ke contact center,Unknown
pakai yang 0D bisa gak?,Unknown
Bisa di info aja nomor va buat bayar,Information
Untuk promo nya?,Information
apakah bisa untuk relokasi?,Request
kantor cabang di cibinong dimana?,Unknown
maksimal penarikan kabel berapa meter,Unknown
Promo 12+5,Information
"tidak ada paket 1B, adanya paket 1D?",Unknown
Username sama pass loginnya apa ?,Unknown
tolong di bantu promo 3+1,Information
tagihan di bayarin teman ?,Information
"masih kemahalan promonya, ada promo yang lebih murah nggk?",Information
pembayarannya bisa di store terdekat gak?,Information
saya ada 7 perangkat aktif di rumah,Unknown
bagaimana kalo tagihan belum dibayarkan ?,Information
saya mau promo yang 2+1 ada nggak?,Information
"Siang, saya Ganjar saya mau berlangganan layanan internet dan TV untuk dirumah saya. Di Biznet ini layanannya apa saja ya?",Unknown
"di my biznet no promo available, kenapa?",Information
Lambat internet,Problem
saya buka dari aplikasinya kok ada?,Unknown
beda gini sih jawabannya,Unknown
Tidak jadi ikut promo,Information
Mau bulanan saja,Unknown
boleh dibantu promo apa saja yang berlaku?,Information
kalau 1D gimana?,Unknown
"saya ingin melakukan pembayaran namun nama yang tertera pada virtual account saya tidak sesuai, saya harus bagaimana",Information
"ok, kalau tempat saya untuk rt rw net apa bisa dipasang?",Unknown
Speed test cuma dapat 10 mbps,Unknown
pembayarannya bisa di branch terdekat gak?,Information
pembayaran di tolak,Information
Bagaimana cara ganti ssid dan password wifi?,Information
"terimakasih, siapa nama atasan anda ?",Unknown
Masih sama ini,Unknown
kalau untuk kantor apa bisa pakai biznet home?,Unknown
Kenapa kendala terus ya ini,Unknown
tadi katanya nggak ada,Unknown
kalo sudah beberapa kali disambung gimana itu min kabel nya,Unknown
kalau ruko apa bisa pakai biznet home?,Unknown
Coba cek sama minta teknisi cek ke rumah,Request
ada promo gak?,Information
saya belum terbantu ini,Unknown
kalau metode pembayarannya bisa dengan apa saja?,Information
cara pembayaran mebbunakan livin mandiri,Information
Langsung aja kirim teknisi,Request
cara bayar,Information
lebih baik ordernya lewat mana nih?,Unknown
lewat WA ini atau aplokasi saja?,Unknown
Saya sudah bayar tapi internetnya belum bisa digunakan. Kenapa ya?,Information
berapa maksimal power modem min?,Problem
Klo ngga ada yg dateng,Unknown
Saya terminate aja lah,Unknown
pemasangan baru promo tahunan jadi berapa?,Information
tagihan dan virtual account berbeda ?,Information
cara lain ada ngga,Information
"Boleh Kak, alamat rumah saya di Komplek Depnaker, Jl Parkit Blok C. 48, jaka setia, bekasi Selatan Kota Bekasi 17147",Unknown
saya kan punya id lain,Unknown
"Saya sudah bayar, kenapa masih ada tagihan di virtual account?",Information
dan info adik saya lagi kendala,Information
internet cepat tanpa FUP,Unknown
kalau dengan cicilan kartu kredit apakah bisa?,Unknown
Saya mau bertanya,Unknown
"alamat saya belum tercover, harus gimana biar ke cover?",Unknown
mau terhubung ke CS,Unknown
kalau 9+3 jadi berapa?,Unknown
km namanya emang siapa ya?,Unknown
kalo internet saya sering lamabt knp?,Unknown
Saya punya id lain,Unknown
Apakah bisa melakukan pembayaran dengan kartu kredit?,Information
bantu aku donk,Unknown
promo untuk tahun depan apa ya?,Information
Tolong diinformasikan paket layanan yang tersedia untuk rumah saya,Information
apa ada paket dengan tv?,Unknown
tidak ada promo free biaya instalasi?,Information
Formulir autodebet CC bisa didapat di mana?,Unknown
harganya berapa?,Information
koneksi dirumah saya lemot yah,Problem
apa bisa mendaftarkan autodebet untuk pembayaran biznet?,Information
Mau beli promo,Information
bisa pakai STB merek lain?,Unknown
Saya mau yang layanan Home internet 1D,Unknown
saya minta info promo lagi dong,Information
Cara bayar tokopedia,Information
"kenapa gak bisa bantu cek, kan IDnya sudah saya info",Information
iya iya nggak usah di bom chat gtu dong,Unknown
status akunnya gimana?,Unknown
"Saya tidak bisa bayat, Infonya no anda tidak terdaftar,",Information
Internet saya ga bisa konek ke iphone kak,Unknown
mau order paket internet biznet di banten,Unknown
ada promo untuk iptv?,Information
"minta detail dan pastinya dong buat harga dari promo, lebih baik saya pilih ya mana nih?",Information
Saya membutuhkan layanan internet dengan penggunaan IP Static apakah Biznet menyediakan?,Request
berapa hari estimasi pemasangan?,Unknown
ada daftar channel nya ga?,Unknown
kalau terdaftar autodebet apakah tetap bisa mengikuti promo?,Information
apakah ada sales yang bisa saya hubungi?,Unknown
bagaimana cara untuk pemutusan jaringan?,Information
mau tanya paket yang available apa ajaa yaa untuk area jakarta?,Unknown
udh restart router masih sama,Problem
ga ada HBO ya?,Unknown
ada nomor wa sales area gianyar?,Unknown
Saya gabisa bayar,Information
Kalau terdaftar autodebet bagaimana langkah untuk terminasi?,Request
di bogor apa bisa pasang IPTV nya saja tanpa internet,Unknown
Saya ada kendala pembayaran,Information
bukannya promo 12+5 itu benarnya  12+6 ya,Information
jadi dari sini urang update informaisnya ya?,Information
"teman saya ada pakai biznet metronet, apa bisa dipasang biznet iptv di akunnya?",Unknown
Kalau begitu cara pendaftaran layanan Biznet Home bagai mana?,Information
biznet ada layanan apa saja?,Unknown
Berapa lama proses terminasi?,Request
saya ada 2 router dengan 15 perangkat,Problem
call center biznet home,Unknown
apakah tidak ada biaya waive untuk pinalty nya,Information
misal saya baut order berapa lama linknya bisa dibayar ya?,Information
Mau rubah password gimana caranya?,Information
promo yang available apa aja ya?,Information
"Kalau sudah isi formulir terminasi namun ada tagihan masuk ke email, apa yang harus saya lakukan?",Information
"Saya mau yang layanan Biznet Home Internet 1D, tolong saya diberikan detail harganya?",Information
Apakah ada promo 6+6?,Information
ini belom dibales,Unknown
kemarin saya ditawarin promo itu,Information
ada HBO?,Unknown
bayar lewat mana cok,Information
Tolong berikan saya detail harganya termasuk dengan PPN dengan sewa modem,Information
berapa saja kecepatan paket biznet,Unknown
kata SPV saya unlimited selama order masih ada?,Unknown
anda kenal SPV saya nggak?,Unknown
Kenapa 1500933 sulit dihubungi?,Unknown
kendala tagihan berbeda,Information
kalau news ada apa aja?,Unknown
kalo buat bayar lebih cepat lewat mana ya?,Information
produk yang murah meriah,Information
router apa yg recomended?,Problem
"Saya mau yang dengan beli modem saja deh, tolong berikan detail harnganya Kak",Request
bayarin dong min,Information
kalau produk lainnya apa aja ya,Information
bulan depan gua ganti,Request
ada lagi ga paket lainnya,Unknown
Mau tau cara ganti password wifi gimana ya?,Information
"saya mau pasang iptv, berapa harga untuk pemasangan paket iptv?",Information
kalo paket perusahaan ada ngga,Unknown
tolong transferin uang ke saya dong buat bayar biznet ini,Information
Untuk layanan internet dan TV d biznet apaan aja?,Unknown
pemasangan nya dari siapa nanti?,Unknown
"kan lu assisten, bantuin gua lah buat bayar ini tagihan",Information
Kalo ganti password Wifi gimana?,Request
Apakah ada promo berlangganan baru saat ini?,Information
"iya kendala bayar, karena uangnya belum ada, gimana nih bot",Information
internet tidak bisa digunakan,Problem
Untuk area sumatra ada paket apa aja?,Information
apa ada nat geo di chanel IPTV nya?,Unknown
memang kapan masa tenggang akun gua?,Unknown
"Boleh, tolong beritahu saya paket layanannya apa saja",Request
Kalau mau tambah aku biznet baru dengan KTP yang sama apakah bisa?,Unknown
saya mau chat dengan customer service,Unknown
"iya kapan tanggalnya, butuh tanggal pastinya jatoh di tanggal berapa",Request
Cara change data dong,Information
sisa kuota saya brp?,Problem
Saya mau yang kombinasi paket internet dan IPTV,Unknown
"Kalau ada kabel yang terputus, berapa lama tim teknisi akan datang melakukan perbaikan?",Problem
emang itu kalo nggak bayar bakal di ambil modemnya,Information
saya mau ikut promo 8+4,Information
saya taunya modem sajya sewa atau beli dimana?,Problem
Apakah layanan saya bisa dilakukan relokasi ke daerah sumatra barat?,Request
"Kalau dalam waktu 1x24 jam tidak ada kunjungan tim teknisi, apakah akan ada kompensasi?",Unknown
Kalo mau nambah IPTV gimana?,Unknown
Mau change emial aku bisa ga di Biznet,Information
Mau promo 12+5 ada ga?,Information
"ya ga mau tau, saya kemarin ditawarin promo 8+4",Information
apakah perlu hubungin Customer Service?,Unknown
kenapa massa aktif saya selalu maju?,Unknown
Tolong berikan saya detail harganya untuk paket internet dan IPTV,Information
"Saya salah bayar ke nomor virtual account orang lain, apa yang harus saya lakukan?",Information
Untuk pembayaran kemana ya?,Information
bisa perubahan data ga?,Unknown
Apa kesalahan bayar ke akun lain bisa direfund?,Information
Kalo ganti paket gimana?,Request
Untuk trasnfer bank ada bank apa saja?,Unknown
apakah bisa mengganti email dan nomor hp di kaun?,Request
apa bisa ganti kepemilikan biznet?,Request
kalo mau ikut promo 3+1 gmn ya?,Information
Apakah bisa mengganti nama menggunakan nama PT?,Request
"Masa aktif masih 3 bulan lagi, mau change packet bisa min?",Information
pembayaran apa saja yang disediakan oleh biznet,Information
"Masa aktif masih 3 bulan lagi, mau ikut promo bisa?",Information
Kalau saya tidak memiliki Bank dari ke-4 bank tersebut gimana? Saya punyanya bank BRI,Unknown
saya ga bisa buka detik.com,Unknown
nggak mau udahan aja ah,Unknown
saya bisa dapet promo apa?,Information
kenapa saya menerima tagihan atas nama orang lain?,Information
Untuk transfer antar bank ini menggunakan virtual account apa gimana?,Unknown
bisa dirincikan untuk biaya promonya?,Information
saya mau *12+5 *,Unknown
"Saya kan hanya puna Bank BRI saja, berati nanti saya transfernya ke Bank apa ya?",Unknown
"tidak ada promo tersedia di my Biznet, gimana?",Information
internet aku putus min tidak bisa dipakai,Problem
bagaiamana cara setting router?,Information
Maksudnya setting router tambahan atau extender,Problem
Untuk layanan Biznet home ini ada kontrak berlangganannya ga?,Unknown
saya mau promo 12+5,Information
Promo terbaru,Information
pembayaran biznet home bisa make bank apa aja ya??,Information
Promo desember apa,Information
Saya tidak bisa bayar VA BCA,Information
Kalo modem dibawa pindah sendiri bisa ngga,Problem
Apabila saya berlangganan dengan sewa modem apakah nantinya bisa beli perangkat modem?,Problem
Lokasi desa ketumping udah kofer blm,Unknown
kalo lewat shoope ga bisa ya?,Unknown
saya tidak ada pulsa jadi disini saja saya komplainnya,Unknown
internet mati,Problem
Apabila nanti saya terminasi lalu saya berlangganan lagi apakah bisa?,Request
why mu quota doesnt decreased?,Unknown
kalo saya bayar di jam 12 malam apakah bisa langsung aktit atau bertambah?,Information
min internet saya mati,Problem
Koneksi down,Unknown
status internet,Unknown
internet saya mati nih,Problem
my quota didn't decreased any at all,Unknown
interner down,Unknown
internet aku gabisa dipakai,Unknown
down,Unknown
ini juga koneksi internetnya putus nyambung,Problem
Biznet Home,Unknown
ada promo apa?,Information
Biznet Dedicated,Unknown
saya mau tanya produk biznet home apa saja,Information
i have red blinking lamp on my modem what should i do?,Problem
saya mau ubah nama akun apakah bisa?,Unknown
"please  check my account 5501147 , I forgot the service",Unknown
paket metronet,Unknown
lagi ada promo apa min?,Information
Biznet homr,Unknown
mau tanya quota,Unknown
Connection Down,Unknown
Apakah 2025 PPN biznet jadi 12%?,Unknown
Boleh minta metode pembayaran layanan Home,Information
"saya mau yg gamers, apa bisa di pasang di toko saya?",Unknown
koneksi saya gk bisa dipake,Unknown
Mau tanya inet saya down,Unknown
kalo saya mau relokasi gimana caranya?,Information
waaaa you only can check based on billing number?,Unknown
mau cek sisa quota,Unknown
Jalan Melawai kebayoran baru,Unknown
"jakarta timur, cakung",Unknown
ngga bisa di info disini ya,Information
caranya bagaimana,Information
indikator modem jika down,Problem
saya sudah restart tapi masih mati,Problem
dapat IP publik statik ga ya?,Unknown
min internet mati,Problem
bagaimana caranya login ke mybiznet ?,Information
"Biznet Home, internet DOWN",Unknown
saya mau tanya tentang promo,Information
soalnya ini internet lambat,Problem
internet saya slow pas beut nich. ads yang bisa tangani gk kawan?,Unknown
"saya perlu internet di rumah dan TV, apakah ada?",Unknown
"No, I just want to chat with you Bella",Unknown
promo biznet home,Information
tanya promo yang ada,Information
sudah di restart koneksi jadi mati,Problem
saya mau ganti paket ke yg lebih murah gimana caranya?,Information
untuk pembayaran apakah bisa ditangguhkan,Information
layanan metronet itu apa,Unknown
please help me order promo 3+1,Information
apa ada promo yg tersedia saat ini?,Information
Connection intermitten,Unknown
Kalau saya lewat tanggal masa aktif akun nanti gimana nasib saya?,Unknown
sorry udah aktif lagi nih,Unknown
Indikator modem huwawei saya berwarna merah,Problem
dikarenakan kondisi keuangan saya maka saya minta ditangguhkan dibulan depan,Request
relokasi,Request
sudah di restart tapi kendala lambat masih juga ya,Problem
koneksi saya down,Unknown
apa ada IPTV?,Unknown
untuk cek speed di mana ya,Unknown
ada paket apa saja IPTV?,Information
berapa harga modem?,Information
"halo, apa bisa dibantu untuk berlangganan",Request
Hi bella saya ingin cek internet saya apakah aman di sistem?,Request
payment problem,Unknown
"hai, aku customer internetku naik turun deh",Unknown
Connection Slow,Unknown
biznet metronet,Unknown
saya ada kendala internet dilokasi tidak bisa digunakan dan ada loss merah,Problem
promo metronet,Information
saya ingin tau dulu harganya,Information
"hasil speed test cuma 10 mbps, memang berapa ya kecepatan layanan saya",Unknown
Kendala internet loss merah,Problem
saya mau tambah data nomor telp,Unknown
terima kasih untuk ganti modem gimana,Request
Promo metronet,Information
Pada point satu berapa lama diberikan waktunya?,Unknown
Internet Down,Unknown
"Kendala internet slow, gimana nih",Unknown
mau dong channel lengkapnya,Unknown
Biznet Metronet,Unknown
pilihan internet untuk kantor,Unknown
Apakah modem Biznet sudah 1G,Problem
apakah mybiznet sudah tersedia di appstore atau playstore ?,Unknown
i have issu with my quota which is has been renewed since a week ago but didn't decreased any at all,Unknown
"mau tanya paket promo yang tersedia skrg, tidak mau ke customer service",Information
"Biznet Home,",Unknown
harga modem berapa?,Information
kapan mybiznet ada di appstore?,Unknown
Saya tidak bisa melakukan pembayaran melalui Bank Danamon,Information
untuk promo biznet home ada apa saja?,Information
"Min internet saya putus sambung dari sore tadi, modem ga di otak atik",Problem
